,pos_caption,neg_caption,pos_image_id,pos_subject,pos_verb,pos_object,neg_verb,pos_matched_tense,neg_matched_tense
183,A boy swims at sea.,a boy runs at sea.,348,boy,swim,sea,run,swims, runs
186,Person pretends to hold person up.,person pretends to capture person up.,353,person,hold,person,capture,hold, capture
188,A girl goes for a run by the sea.,a girl goes for a jump by the sea.,356,girl,run,sea,jump,run, jump
192,A person takes a walk next to the sea.,a person takes a jump next to the sea.,100,person,walk,sea,jump,walk, jump
193,Man doing exercise sits in front of a wall,man doing exercise stands in front of a wall,365,man,sit,wall,stand,sits, stands
195,A woman sits in front.,a woman stands in front.,368,woman,sit,front,stand,sits, stands
209,A woman is walking along the sea.,a woman is running along the sea.,315,woman,walk,sea,run,walking, running
211,A child is running across the beach.,a child is sitting across the beach.,393,child,run,beach,sit,running, sitting
217,A woman stretches on the beach.,a woman runs on the beach.,405,woman,stretch,beach,run,stretches, runs
225,the man run on the road,the man go on the road,419,man,run,road,go,run, go
229,A person is leaning on the wall.,a person is sitting on the wall.,427,person,lean,wall,sit,leaning, sitting
241,A person looking for people on twitter to follow,a person looking for people on twitter to tell,447,person,follow,person,tell,follow, tell
242,A mother and child run on the beach.,a mother and child walk on the beach.,449,mother,run,beach,walk,run, walk
243,A woman in a brown jacket walks by a tree during fall.,a woman in a brown jacket stands by a tree during fall.,375,woman,walk,tree,stand,walks, stands
244,A woman in a brown jacket walks by a tree during fall.,a woman in a brown jacket sits by a tree during fall.,375,woman,walk,tree,sit,walks, sits
248,The woman sits on the floor.,the woman lies on the floor.,314,woman,sit,floor,lie,sits, lies
254,The team works to score this game.,the team works to win this game.,469,team,score,game,win,score, win
260,A person runs as a player in competitive sport.,a person directs as a player in competitive sport.,478,person,run,player,direct,runs, directs
263,Players salute their fans.,players applaud their fans.,483,player,salute,fan,applaud,salute, applaud
264,A person walks along some shallow water.,a person runs along some shallow water.,485,person,walk,water,run,walks, runs
265,A man sit on the beach,a man walk on the beach,487,man,sit,beach,walk,sit, walk
269,A player serves the ball in a tennis match.,a player passes the ball in a tennis match.,495,player,serve,match,pass,serves, passes
270,The man is standing with his back to the room.,the man is sitting with his back to the room.,496,man,stand,room,sit,standing, sitting
280,A businessman stands on the beach.,a businessman sits on the beach.,511,businessman,stand,beach,sit,stands, sits
290,Person kicking a ball.,person winning a ball.,529,person,kick,ball,win,kicking, winning
291,Man standing at a desk.,man sitting at a desk.,531,man,stand,desk,sit,standing, sitting
294,The person grabbed the ball.,the person returned the ball.,136,person,grab,ball,return,grabbed, returned
295,A person is dropping the ball.,a person is picking the ball.,537,person,drop,ball,pick,dropping, picking
299,A man walks around the lake.,a man sits around the lake.,542,man,walk,lake,sit,walks, sits
308,The woman is laying on the floor.,the woman is lying on the floor.,557,woman,lay,floor,lie,laying, lying
311,A player takes a picture of a set of bocce balls.,a player takes a picture of a edge of bocce balls.,563,player,set,ball,edge,set, edge
316,A person attends the show,a person appears the show,570,person,attend,show,appear,attends, appears
322,A boat moored in a river.,a boat cruised in a river.,581,boat,moor,river,cruise,moored, cruised
324,Players see each other before the game.,players throw each other before the game.,585,player,see,game,throw,see, throw
327,A person holds a ball.,a person competes a ball.,590,person,hold,player,compete,holds, competes
328,A woman hitchhiking on the road.,a woman running on the road.,592,woman,hitchhike,road,run,hitchhiking, running
329,A woman lying in the grass.,a woman lying in the grass.,274,woman,lay,grass,stand,No match,
331,The person strolled on the beach.,the person jumped on the beach.,596,person,stroll,beach,jump,strolled, jumped
334,Girls walking down the street.,girls running down the street.,601,girl,walk,street,run,walking, running
336,A woman sits on a pier.,a woman stands on a pier.,605,woman,sit,pier,stand,sits, stands
339,A man jogs through the forest.,a man walks through the forest.,609,man,jog,forest,walk,jogs, walks
341,The player shoots the ball toward the goal in the soccer match.,the player kicks the ball toward the goal in the soccer match.,613,player,shoot,match,kick,shoots, kicks
351,Person serving a tennis ball,person pitching a tennis ball,631,person,serve,ball,pitch,serving, pitching
352,The boy is sitting on the couch.,the boy is lying on the couch.,633,boy,sit,couch,lie,sitting, lying
360,A man walks in the sand.,a man runs in the sand.,645,man,walk,sand,run,walks, runs
364,A person lies in a field.,a person walks in a field.,652,person,lie,field,walk,lies, walks
369,a person float on the sea,a person run on the sea,660,person,float,sea,run,float, run
371,A man is walking on sand.,a man is running on sand.,664,man,walk,sand,run,walking, running
384,A woman floats in the water.,a woman jumps in the water.,686,woman,float,water,jump,floats, jumps
394,A  man jump in the mountain,a man hike in the mountain,705,man,jump,mountain,hike,jump, hike
400,The person appeared on the show,the person performed on the show,715,person,appear,show,perform,appeared, performed
403,Army team shoot some terrorists.,army team play some terrorists.,718,person,shoot,team,play,shoot, play
409,Players stretch before the game.,players see before the game.,729,player,stretch,game,see,stretch, see
410,A woman walks on a road.,a woman hitchhikes on a road.,731,woman,walk,road,hitchhike,walks, hitchhikes
415,A woman stretches on the beach.,a woman stands on the beach.,737,woman,stretch,beach,stand,stretches, stands
420,Person crossing the street,person going the street,746,person,cross,street,go,crossing, going
422,The man walked along the trail.,the man ran along the trail.,749,man,walk,trail,run,walked, ran
425,A boy swims on a float in the water.,a boy runs on a float in the water.,754,boy,swim,water,run,swims, runs
426,A person is sitting on the beach.,a person is standing on the beach.,258,person,sit,beach,stand,sitting, standing
427,A boat is moored in an estuary.,a boat is sailed in an estuary.,757,boat,moor,estuary,sail,moored, sailed
428,A girl lies on a bench.,a girl sits on a bench.,758,girl,lie,bench,sit,lies, sits
430,A dog stands on a floor.,a dog lies on a floor.,760,dog,stand,floor,lie,stands, lies
431,A woman is walking in the sea.,a woman is running in the sea.,762,woman,walk,sea,run,walking, running
432,A father walks on the beach.,a father sits on the beach.,764,father,walk,beach,sit,walks, sits
434,A person is fighting a ball.,a person is punting a ball.,768,person,fight,ball,punt,fighting, punting
441,A person is dropping a ball.,a person is holding a ball.,779,person,drop,ball,hold,dropping, holding
448,Players run after a ball on the field.,players play after a ball on the field.,792,player,run,field,play,run, play
457,A girl stands against a table holding some objects in her hands.,a girl sits against a table holding some objects in her hands.,807,girl,stand,table,sit,stands, sits
458,A woman sits facing a tree.,a woman stands facing a tree.,809,woman,sit,tree,stand,sits, stands
461,A player celebrates after a tournament.,a player plays after a tournament.,814,player,celebrate,tournament,play,celebrates, plays
465,A puppy stands in the grass.,a puppy sits in the grass.,83,puppy,stand,grass,sit,stands, sits
468,A woman feeding a dog,a woman taking a dog,173,woman,feed,dog,take,feeding, taking
477,A person sits on a staircase.,a person walks on a staircase.,835,person,sit,staircase,walk,sits, walks
480,A man runs on the beach.,a man rests on the beach.,841,man,run,beach,rest,runs, rests
481,A person celebrates after a soccer game.,a person plays after a soccer game.,843,person,celebrate,game,play,celebrates, plays
483,a man lying next to a table,a man sitting next to a table,846,man,lie,table,sit,lying, sitting
490,A man hikes in the forest.,a man jogs in the forest.,855,man,hike,forest,jog,hikes, jogs
495,A girl walks near the sea.,a girl floats near the sea.,862,girl,walk,sea,float,walks, floats
497,A person swims in the water.,a person jumps in the water.,43,person,swim,water,jump,swims, jumps
514,A businessman is sitting at the beach.,a businessman is walking at the beach.,150,businessman,sit,beach,walk,sitting, walking
524,A woman runs in a park.,a woman walks in a park.,907,woman,run,park,walk,runs, walks
526,The girl played with the ball.,the girl sat with the ball.,909,girl,play,ball,sit,played, sat
528,This person runs track.,this person stands track.,912,person,run,track,stand,runs, stands
536,The moon flows through the sky.,the moon moves through the sky.,926,moon,flow,sky,move,flows, moves
549,A women sits in the garden,a women stands in the garden,133,woman,sit,garden,stand,sits, stands
552,Artists perform a play on the stage.,artists perform a perform on the stage.,951,artist,play,stage,perform,play, perform
553,A player pitches for the team.,a player throws for the team.,953,player,pitch,team,throw,pitches, throws
554,A man stands in front of a window.,a man sits in front of a window.,443,man,stand,front,sit,stands, sits
555,A woman sits in a meadow smelling flowers.,a woman stands in a meadow smelling flowers.,956,woman,sit,meadow,stand,sits, stands
557,person stands in room,person sits in room,929,person,stand,room,sit,stands, sits
558,A man walking in a city.,a man running in a city.,960,man,walk,city,run,walking, running
571,A player directs a team.,a player celebrates a team.,980,player,direct,team,celebrate,directs, celebrates
572,The person runs in the championship,the person wins in the championship,751,person,run,championship,win,runs, wins
573,The man is walking across the dune.,the man is sitting across the dune.,983,man,walk,dune,sit,walking, sitting
576,A woman runs on the shore.,a woman walks on the shore.,988,woman,run,shore,walk,runs, walks
579,A man walks by the water.,a man jumps by the water.,993,man,walk,water,jump,walks, jumps
580,A mother and child run on the beach.,a mother and child sit on the beach.,449,mother,run,beach,sit,run, sit
581,A woman sits on a chair.,a woman stands on a chair.,996,woman,sit,chair,stand,sits, stands
585,A person plays a match of golf.,a person runs a match of golf.,1003,person,play,match,run,plays, runs
589,This man climbed this mountain.,this man walked this mountain.,1010,man,climb,mountain,walk,climbed, walked
592,A woman is walking on sand.,a woman is sitting on sand.,1012,woman,walk,sand,sit,walking, sitting
595,Man running on a path.,man walking on a path.,77,man,run,path,walk,running, walking
596,A player slides to beat being tagged with the ball.,a player throws to beat being tagged with the ball.,1019,player,slide,ball,throw,slides, throws
599,The baseball player had to throw the ball quick in the last inning.,the baseball player had to slide the ball quick in the last inning.,1025,player,throw,inning,slide,throw, slide
609,The player will gather with other players to catch the ball.,the player will keep with other players to catch the ball.,410,player,gather,ball,keep,gather, keep
611,A man sits at a desk.,a man stands at a desk.,1046,man,sit,desk,stand,sits, stands
612,A MAN SITS IN THE PILE OF GOLD,a man stands in the pile of gold,1047,man,sit,pile,stand,sits, stands
615,Person throws a pitch.,person walks a pitch.,1053,person,throw,pitch,walk,throws, walks
621,The woman jogs in the forest.,the woman walks in the forest.,1060,woman,jog,forest,walk,jogs, walks
622,A child sits on a beach.,a child walks on a beach.,480,child,sit,beach,walk,sits, walks
624,A mother sits on the beach.,a mother runs on the beach.,1065,mother,sit,beach,run,sits, runs
625,A woman stands in a field.,a woman lies in a field.,636,woman,stand,field,lie,stands, lies
626,A man is walking in the snow.,a man is running in the snow.,680,man,walk,snow,run,walking, running
629,A man walks through the stand.,a man runs through the stand.,1072,man,walk,sand,run,walks, runs
631,A woman will sit in the front,a woman will stand in the front,1075,woman,sit,front,stand,sit, stand
635,A girl sits in a garden.,a girl stands in a garden.,848,girl,sit,garden,stand,sits, stands
637,A person passes the ball.,a person fights the ball.,1081,person,pass,ball,fight,passes, fights
638,The people stood in the front.,the people lay in the front.,266,person,stand,front,lie,stood, lay
640,Player stands on the ball,player sets on the ball,1085,player,stand,ball,set,stands, sets
647,A man jumping into water.,a man walking into water.,1095,man,jump,water,walk,jumping, walking
656,The girl is walking on the beach.,the girl is lying on the beach.,1107,girl,walk,beach,lie,walking, lying
657,A woman runs on the street.,a woman walks on the street.,1109,woman,run,street,walk,runs, walks
660,The player hit the ball.,the player take the ball.,544,player,hit,ball,take,hit, take
661,A man standing on the beach.,a man running on the beach.,1113,man,stand,beach,run,standing, running
664,A basketball players throws a half court shot.,a basketball players hits a half court shot.,1117,player,throw,half,hit,throws, hits
666,The boat is floating in the lake.,the boat is mooring in the lake.,1120,boat,float,lake,moor,floating, mooring
669,A person can greet the player.,a person can direct the player.,1126,person,greet,player,direct,greet, direct
671,A woman running along the shore.,a woman sitting along the shore.,1129,woman,run,shore,sit,running, sitting
672,A person runs on the street,a person wanders on the street,1130,person,run,street,wander,runs, wanders
679,A person sits against a tree.,a person perches against a tree.,1141,person,sit,tree,perch,sits, perches
682,A woman is lying in the grass reading a book.,a woman is relaxing in the grass reading a book.,1146,woman,lie,grass,relax,lying, relaxing
683,The player celebrates on the field with another player.,the player serves on the field with another player.,1148,player,celebrate,player,serve,celebrates, serves
684,A person walks in a forest.,a person runs in a forest.,1150,person,walk,forest,run,walks, runs
686,A person sits with the pile,a person stands with the pile,1153,man,sit,pile,stand,sits, stands
688,A man lies on the sofa.,a man sits on the sofa.,1155,man,lie,sofa,sit,lies, sits
689,A person lies in a field.,a person flies in a field.,652,person,lie,field,fly,lies, flies
694,A person directs a player.,a person holds a player.,1165,person,direct,player,hold,directs, holds
701,A player tries to catch the ball.,a player tries to pass the ball.,1173,player,catch,football,pass,catch, pass
704,A player throws a pitch.,a player readies a pitch.,902,player,throw,pitch,ready,throws, readies
706,A man is standing in the kitchen drying dishes.,a man is sitting in the kitchen drying dishes.,1179,man,stand,kitchen,sit,standing, sitting
711,A man stands at a table.,a man lies at a table.,1185,man,stand,table,lie,stands, lies
712,This person is in a man pose.,this person is in a man pose.,1186,person,pose,man,look,No match,
713,A dog stands in the grass near another dog.,a dog lies in the grass near another dog.,1,dog,stand,grass,lie,stands, lies
721,The person plays at a concert.,the person performs at a concert.,1198,person,play,concert,perform,plays, performs
723,A person jumps into the sea.,a person floats into the sea.,364,person,jump,sea,float,jumps, floats
726,A woman lying in the bed.,a woman sitting in the bed.,1203,woman,lie,bed,sit,lying, sitting
733,A man stands on the seashore.,a man walks on the seashore.,211,man,stand,seashore,walk,stands, walks
734,A woman walks along the coast.,a woman stretches along the coast.,1212,woman,walk,coast,stretch,walks, stretches
735,A person sits against a wall.,a person stands against a wall.,1214,person,sit,wall,stand,sits, stands
745,A person is sitting on a wall.,a person is leaning on a wall.,1231,person,sit,wall,lean,sitting, leaning
748,player catch a ball from another player,player greet a ball from another player,17,player,catch,player,greet,catch, greet
752,The actors arrive at the movie premiere.,the actors depart at the movie premiere.,969,actor,arrive,premiere,depart,arrive, depart
760,The boy lies on the couch.,the boy sits on the couch.,1248,boy,lie,couch,sit,lies, sits
770,player slides with ball,player steals with ball,1264,player,slide,ball,steal,slides, steals
771,A woman running along the shore.,a woman sitting along the shore.,1266,woman,run,shore,sit,running, sitting
773,A woman stands in a meadow.,a woman sits in a meadow.,408,woman,stand,meadow,sit,stands, sits
774,Man is walking on the boardwalk.,man is sitting on the boardwalk.,1268,man,walk,boardwalk,sit,walking, sitting
781,Artists are playing on stage.,artists are performing on stage.,1276,artist,play,stage,perform,playing, performing
782,man sits on sofa,man lies on sofa,1278,man,sit,sofa,lie,sits, lies
793,a person stands their ground,a person sits their ground,465,person,stand,ground,sit,stands, sits
794,The man walked on the sidewalk.,the man ran on the sidewalk.,1292,man,walk,sidewalk,run,walked, ran
800,A person plays with a ball on the beach.,a person throws with a ball on the beach.,1299,person,play,ball,throw,plays, throws
807,The player kicks a ball in the match.,the player plays a ball in the match.,1310,player,kick,match,play,kicks, plays
809,Girl sit front of the river,girl stand front of the river,1314,girl,sit,front,stand,sit, stand
811,The man stands on the seashore.,the man walks on the seashore.,1317,man,stand,seashore,walk,stands, walks
827,The player will gather with other players to catch the ball.,the player will dive with other players to catch the ball.,410,player,gather,ball,dive,gather, dive
828,a woman is sitting on the grass,a woman is lying on the grass,395,woman,sit,grass,lie,sitting, lying
830,Players are celebrating after the game.,players are winning after the game.,1340,player,celebrate,game,win,celebrating, winning
831,A person feeds another person.,a person proposes another person.,1342,person,feed,person,propose,feeds, proposes
835,A soccer player kicks a goal.,a soccer player scores a goal.,1348,player,kick,goal,score,kicks, scores
841,The person can take the ball to the park.,the person can hit the ball to the park.,1357,person,take,ball,hit,take, hit
842,A father holds his child.,a father feeds his child.,1359,father,hold,child,feed,holds, feeds
844,The man sits in the sand.,the man walks in the sand.,1363,man,sit,sand,walk,sits, walks
845,A GIRL STANDS IN HER CLASSROOM,a girl sits in her classroom,1364,girl,stand,classroom,sit,stands, sits
846,A player pitches for the team.,a player pictures for the team.,953,player,pitch,team,picture,pitches, pictures
855,A train passes through a stop at a city.,a train goes through a stop at a city.,1376,train,pass,city,go,passes, goes
861,The player will pitch in the baseball game.,the player will prepare in the baseball game.,1385,player,pitch,game,prepare,pitch, prepare
865,A woman walks alone in the shallow water of the ocean.,a woman sits alone in the shallow water of the ocean.,1391,woman,walk,ocean,sit,walks, sits
878,A man hikes with a dog in the snow.,a man walks with a dog in the snow.,1407,man,hike,snow,walk,hikes, walks
880,A girl jumps into some water.,a girl carries into some water.,1409,girl,jump,water,carry,jumps, carries
884,The player punts the ball.,the player catches the ball.,1416,player,punt,ball,catch,punts, catches
888,Person plays music.,person performs music.,1412,person,play,music,perform,plays, performs
889,A man is standing at a desk.,a man is sitting at a desk.,244,man,stand,desk,sit,standing, sitting
891,The player scores a penalty.,the player saves a penalty.,1424,player,score,penalty,save,scores, saves
892,Elderly woman resting in a chair.,elderly woman standing in a chair.,1426,woman,rest,chair,stand,resting, standing
894,The man is sitting in the sand.,the man is walking in the sand.,1428,man,sit,sand,walk,sitting, walking
895,Cars waiting for someone to cross the street.,cars waiting for someone to hit the street.,350,car,cross,street,hit,cross, hit
905,A girl lies on the beach.,a girl sits on the beach.,1440,girl,lie,beach,sit,lies, sits
908,A choppy gray wave pounds the shoreline in a pier.,a choppy gray wave breaks the shoreline in a pier.,963,wave,pound,shoreline,break,pounds, breaks
911,Man walking across sea.,man jumping across sea.,1446,man,walk,sea,jump,walking, jumping
912,cricketer player celebrates,cricketer player meets,1448,player,celebrate,cricketer,meet,celebrates, meets
913,man jogging on a trail,man hiking on a trail,1449,man,jog,trail,hike,jogging, hiking
914,Boats float in the sea.,boats sail in the sea.,1450,boat,float,sea,sail,float, sail
919,"family, ocean, ball","family, ocean, ball",1458,person,swim,beach,crawl,No match,
920,The person competing in the tennis match attempts to hit the ball.,the person punting in the tennis match attempts to hit the ball.,1308,person,compete,ball,punt,competing, punting
921,The father will hold the hand of his child.,the father will feed the hand of his child.,1460,father,hold,child,feed,hold, feed
923,The man is sitting near the shore.,the man is running near the shore.,317,man,sit,shore,run,sitting, running
930,The player is balancing the ball.,the player is missing the ball.,1471,player,balance,ball,miss,balancing, missing
931,A person saves a soccer ball.,a person plays a soccer ball.,1473,person,save,ball,play,saves, plays
933,A player makes a throw in a game.,a player makes a kick in a game.,1378,player,throw,game,kick,throw, kick
937,Woman lays in grass.,woman sits in grass.,1480,woman,lay,grass,sit,lays, sits
938,The woman was hit by the ball.,the woman was play by the ball.,1482,woman,hit,ball,play,hit, play
941,The cloud moved behind the mountain.,the cloud drifted behind the mountain.,1487,cloud,move,mountain,drift,moved, drifted
948,The person is talking to a soccer player.,the person is being to a soccer player.,1494,person,talk,player,be,talking, being
949,The players try to strike the ball.,the players try to fumble the ball.,1495,player,strike,ball,fumble,strike, fumble
950,A man scrolling through his phone while chilling on the floor.,a man scrolling through his phone while chilling on the floor.,828,man,sit,floor,lie,No match,
955,A player is running from the defender,a player is vying from the defender,1500,player,run,defender,vie,running, vying
959,A person saves a soccer ball.,a person pitches a soccer ball.,1473,person,save,ball,pitch,saves, pitches
961,A woman sings on stage.,a woman performs on stage.,1509,woman,sing,stage,perform,sings, performs
965,A couple runs on the beach,a couple walks on the beach,286,couple,run,beach,walk,runs, walks
966,A person celebrates after a game.,a person throws after a game.,1515,person,celebrate,game,throw,celebrates, throws
967,A player keeps a ball.,a player crosses a ball.,1517,player,keep,ball,cross,keeps, crosses
970,A man sits near a lake.,a man stands near a lake.,543,man,sit,lake,stand,sits, stands
980,A woman sits in the meadow.,a woman walks in the meadow.,1534,woman,sit,meadow,walk,sits, walks
992,A person swims in the sea.,a person jumps in the sea.,1548,person,swim,sea,jump,swims, jumps
999,A woman sits on the couch arguing with another woman.,a woman rests on the couch arguing with another woman.,1287,woman,sit,couch,rest,sits, rests
1011,A person getting the boxing win.,a person taking the boxing win.,1572,person,get,win,take,getting, taking
1013,A person sits against a wall.,a person leans against a wall.,1576,person,sit,wall,lean,sits, leans
1019,A player kicking a football.,a player playing a football.,1583,player,kick,football,play,kicking, playing
1022,A dog lying on the floor.,a dog lying on the floor.,1587,dog,lay,floor,sit,No match,
1023,A person sits with the pile,a person stands with the pile,1153,man,sit,pile,stand,sits, stands
1031,A man sits on his computer in the park.,a man walks on his computer in the park.,1290,man,sit,park,walk,sits, walks
1036,The man is standing in the room.,the man is sitting in the room.,1601,man,stand,room,sit,standing, sitting
1041,A person hugs her loved person,a person proposes her loved person,626,person,hug,person,propose,hugs, proposes
1043,A boy swims in the sea.,a boy runs in the sea.,1608,boy,swim,sea,run,swims, runs
1044,The woman was hitchhiking on the road.,the woman was walking on the road.,301,woman,hitchhike,road,walk,hitchhiking, walking
1045,A person wander in the street,a person hug in the street,1609,person,wander,street,hug,wander, hug
1050,A girl is sitting by a table.,a girl is standing by a table.,1615,girl,sit,table,stand,sitting, standing
1051,The person grabbed the ball.,the person passed the ball.,136,person,grab,ball,pass,grabbed, passed
1053,A woman jogs the beach.,a woman strolls the beach.,1618,woman,jog,beach,stroll,jogs, strolls
1055,Girls crossing a road.,girls walking a road.,1621,girl,cross,road,walk,crossing, walking
1056,A player knocks into another player while going after the ball.,a player knocks into another player while going after the ball.,1622,player,knock,ball,hold,No match,
1059,A man is walking on boards on a trail.,a man is running on boards on a trail.,1626,man,walk,trail,run,walking, running
1067,A woman lays on the grass.,a woman sits on the grass.,1147,woman,lay,grass,sit,lays, sits
1069,A person is walking in the lake.,a person is sitting in the lake.,1636,man,walk,lake,sit,walking, sitting
1072,A woman is swimming in the water.,a woman is wading in the water.,1640,woman,swim,water,wade,swimming, wading
1074,A person greets a crowd.,a person celebrates a crowd.,1642,person,greet,crowd,celebrate,greets, celebrates
1079,The person perches his birds on the trees.,the person leans his birds on the trees.,1142,person,perch,tree,lean,perches, leans
1082,A girl runs in the field.,a girl lies in the field.,1649,girl,run,field,lie,runs, lies
1083,Two players collide with each other.,two players throw with each other.,1650,player,collide,player,throw,collide, throw
1085,A kid sits on the beach.,a kid runs on the beach.,710,kid,sit,beach,run,sits, runs
1089,EMTs try to help the person who was injured in a hit and run.,emts try to help the person who was injured in a follow and run.,554,person,hit,run,follow,hit, follow
1095,A woman is sitting at the park.,a woman is running at the park.,395,woman,sit,park,run,sitting, running
1097,The man is sitting at the table.,the man is lying at the table.,831,man,sit,table,lie,sitting, lying
1104,Two men are running up a trail.,two men are hiking up a trail.,1667,man,run,trail,hike,running, hiking
1105,A man is walking on sand.,a man is sitting on sand.,664,man,walk,sand,sit,walking, sitting
1107,A person is pulling another person.,a person is posing another person.,1670,person,pull,person,pose,pulling, posing
1112,The player walks with his team.,the player directs with his team.,1380,player,walk,team,direct,walks, directs
1130,A person scores at a game.,a person celebrates at a game.,1699,person,score,game,celebrate,scores, celebrates
1134,A coming wave crashes on the beach.,a hitting wave crashes on the beach.,1702,wave,come,beach,hit,coming, hitting
1135,A puppy sits on the grass.,a puppy stands on the grass.,1271,puppy,sit,grass,stand,sits, stands
1138,The lady is sitting on the beach.,the lady is walking on the beach.,1707,lady,sit,beach,walk,sitting, walking
1147,A person sits on a staircase.,a person walks on a staircase.,835,person,sit,staircase,walk,sits, walks
1156,A man hikes through the woods covered in snow.,a man sweeps through the woods covered in snow.,1726,man,hike,snow,sweep,hikes, sweeps
1159,A girl hitchhikes on the side of the road.,a girl crosses on the side of the road.,1063,girl,hitchhike,road,cross,hitchhikes, crosses
1166,A girl swims in water.,a girl carries in water.,1734,girl,swim,water,carry,swims, carries
1170,A woman walks in a park.,a woman runs in a park.,1740,woman,walk,park,run,walks, runs
1173,The artist plays jump-rope in the show.,the artist sings jump-rope in the show.,784,artist,play,show,sing,plays, sings
1174,A person walks on a beach.,a person sits on a beach.,700,person,walk,beach,sit,walks, sits
1178,Person rests in grass.,person sits in grass.,360,person,rest,grass,sit,rests, sits
1180,A person stretches with a yoga ball.,a person kicks with a yoga ball.,177,person,stretch,ball,kick,stretches, kicks
1183,A father is carrying his daughter.,a father is pushing his daughter.,1753,father,carry,daughter,push,carrying, pushing
1187,A woman lies on a bed,a woman sits on a bed,1757,woman,lie,bed,sit,lies, sits
1188,The person is ready to run the track,the person is ready to stand the track,513,person,run,track,stand,run, stand
1192,a girl stands by the table,a girl sits by the table,1762,girl,stand,table,sit,stands, sits
1193,A person marches in the street.,a person wanders in the street.,1763,person,march,street,wander,marches, wanders
1195,The man sits by the pier,the man stands by the pier,1390,man,sit,pier,stand,sits, stands
1202,Players salute their fans.,players celebrate their fans.,483,player,salute,fan,celebrate,salute, celebrate
